round,round_key,region,game_id,team,seed,raw_prob,normalized_prob
16,S16,East,G2,UConn,2,0.48290000,0.48802425
16,S16,East,G2,Furman,15,0.00430000,0.00434563
16,S16,West,G1,Arizona,1,0.74480000,0.76838956
16,S16,West,G1,LIU Brooklyn,16,0.00390000,0.00402352
16,S16,West,G1,Villanova,8,0.02560000,0.02641081
16,S16,West,G1,Utah State,9,0.00670000,0.00691220
16,S16,West,G1,Wisconsin,5,0.06870000,0.07087589
16,S16,West,G1,High Point,12,0.00550000,0.00567420
16,S16,West,G1,Arkansas,4,0.10860000,0.11203962
16,S16,West,G1,Hawaii,13,0.00550000,0.00567420
16,S16,West,G2,BYU,6,0.11440000,0.11836524
16,S16,West,G2,NC State,11,0.00620000,0.00641490
16,S16,West,G2,Gonzaga,3,0.30430000,0.31484739
16,S16,West,G2,Kennesaw,14,0.00350000,0.00362131
16,S16,West,G2,Miami,7,0.04750000,0.04914640
16,S16,West,G2,Missouri,10,0.01100000,0.01138127
16,S16,West,G2,Purdue,2,0.47500000,0.49146405
16,S16,West,G2,Queens NC,15,0.00460000,0.00475944
16,S16,South,G1,Florida,1,0.74680000,0.76736539
16,S16,South,G1,Lehigh,16,0.00330000,0.00339088
16,S16,South,G1,Clemson,8,0.01580000,0.01623510
16,S16,South,G1,Iowa,9,0.02800000,0.02877106
16,S16,South,G1,Vanderbilt,5,0.10570000,0.10861077
16,S16,South,G1,McNeese,12,0.00630000,0.00647349
16,S16,South,G1,Nebraska,4,0.06310000,0.06483765
16,S16,South,G1,Troy,13,0.00420000,0.00431566
16,S16,South,G2,North Carolina,6,0.12720000,0.13064914
16,S16,South,G2,VCU,11,0.00800000,0.00821693
16,S16,South,G2,Illinois,3,0.20390000,0.20942892
16,S16,South,G2,Penn,14,0.00740000,0.00760066
16,S16,South,G2,Saint Mary's,7,0.01880000,0.01930978
16,S16,South,G2,Texas A&M,10,0.01430000,0.01468776
16,S16,South,G2,Houston,2,0.58940000,0.60538209
16,S16,South,G2,Idaho,15,0.00460000,0.00472473
16,S16,Midwest,G1,Michigan,1,0.77110000,0.79948160
16,S16,Midwest,G1,Howard,16,0.00360000,0.00373250
16,S16,Midwest,G1,Georgia,8,0.01240000,0.01285640
16,S16,Midwest,G1,St Louis,9,0.00980000,0.01016071
16,S16,Midwest,G1,Texas Tech,5,0.04910000,0.05090721
16,S16,Midwest,G1,Akron,12,0.00520000,0.00539139
16,S16,Midwest,G1,Alabama,4,0.10890000,0.11290824
16,S16,Midwest,G1,Hofstra,13,0.00440000,0.00456195
16,S16,Midwest,G2,Tennessee,6,0.11990000,0.12454555
16,S16,Midwest,G2,SMU,11,0.00730000,0.00758284
16,S16,Midwest,G2,Virginia,3,0.25790000,0.26789239
16,S16,Midwest,G2,Wright State,14,0.00410000,0.00425886
16,S16,Midwest,G2,Kentucky,7,0.08350000,0.08673522
16,S16,Midwest,G2,Santa Clara,10,0.01110000,0.01153007
16,S16,Midwest,G2,Iowa State,2,0.47350000,0.49184585
16,S16,Midwest,G2,Tennessee State,15,0.00540000,0.00560922
8,E8,East,G1,Duke,1,0.64670000,0.65060362
8,E8,East,G1,Siena,16,0.00200000,0.00201207
8,E8,East,G1,Ohio State,8,0.01030000,0.01036217
8,E8,East,G1,TCU,9,0.00290000,0.00291751
8,E8,East,G1,St John's,5,0.05200000,0.05231388
8,E8,East,G1,Northern Iowa,12,0.00180000,0.00181087
8,E8,East,G1,Kansas,4,0.04290000,0.04315895
8,E8,East,G1,Cal Baptist,13,0.00140000,0.00140845
8,E8,East,G1,Louisville,6,0.00680000,0.00684105
8,E8,East,G1,South Florida,11,0.00300000,0.00301811
8,E8,East,G1,Michigan State,3,0.07720000,0.07766600
8,E8,East,G1,N Dakota St,14,0.00140000,0.00140845
8,E8,East,G1,UCLA,7,0.00950000,0.00955734
8,E8,East,G1,UCF,10,0.00210000,0.00211268
8,E8,East,G1,UConn,2,0.13250000,0.13329980
8,E8,East,G1,Furman,15,0.00150000,0.00150905
8,E8,West,G1,Arizona,1,0.56080000,0.57659881
8,E8,West,G1,LIU Brooklyn,16,0.00230000,0.00236480
8,E8,West,G1,Villanova,8,0.00830000,0.00853383
